canonicalName,eolID,inaturalistID,gbifID,wikipediaID,arkiveID,adwID,fishbaseID,amphibiawebID
Abrothallus usneae,52240335,462228,2592364,,,,,
Abrothallus welwitschii,52240344,212194,8343517,Q10398091,,,,
Acrospermum adeanum,52240768,1045163,2612453,,,,,
Acrospermum compressum,52240769,381164,2612450,,,,,
Acrospermum graminum,52784339,987083,2612452,,,,,
Asterina aucubae,50950080,1438935,5501295,,,,,
Asterina veronicae,52783478,1540791,5263348,,,,,
Dothidasteromella systema-solare,49435256,474049,2620165,,,,,
Morenoina paludosa,48322903,416614,2620292,,,,,
Placosoma nothopanacis,48557992,383688,5263368,,,,,
Triposporium elegans,52783119,352622,2620307,,,,,
Triposporium verruculosum,48379426,384598,2620308,,,,,
Pachypatella alsophilae,6659748,384110,3544552,,,,,
Botryosphaeria corticola,6439051,1262595,2611544,Q4948831,,,,
Botryosphaeria dothidea,154790,143715,2611548,Q4948837,,,,
Diplodia corticola,6438231,702669,2611545,Q104096262,,,,
Diplodia tumefaciens,6438899,488922,2612322,,,,,
Dothiorella sarmentorum,8593862,417597,2611844,,,,,
Dothiorella vidmadera,42792052,794720,7900307,,,,,
Lasiodiplodia theobromae,156591,976291,2611222,Q4948839,,,,
Lasiodiplodia viticola,21309957,1499701,8248775,,,,,
Neofusicoccum arbuti,8593551,701905,2611899,Q10597179,,,,
Neofusicoccum australe,8593550,417610,2611907,Q10597181,,,,
Neofusicoccum luteum,8593547,1360678,2611909,,,,,
Neofusicoccum mangiferae,11939859,606974,2611784,Q6992872,,,,
Neoscytalidium dimidiatum,11939919,383328,2611786,,,,,
Phaeobotryon cupressi,11939954,1474229,5894764,Q10625727,,,,
Phaeobotryosphaeria visci,11479892,1096380,3308783,,,,,
Sphaeropsis sapinea,998765,360231,2591884,,,,,
Phyllosticta ampelicida,18164393,517494,2611418,Q604793,,,,
Phyllosticta arbuti,1031338,1466417,2612131,,,,,
Phyllosticta artocarpi,18162452,1188562,3516502,,,,,
Phyllosticta camelliae,1029347,1090274,2612049,,,,,
Phyllosticta concava,18164059,769091,3515251,,,,,
Phyllosticta convallariae,6429359,1031299,2568119,,,,,
Phyllosticta cruenta,6429409,628829,7255034,,,,,
Phyllosticta epimedii,6429602,1023968,3514587,,,,,
Phyllosticta lauri,1009403,1504420,2612154,,,,,
Phyllosticta magnoliae,189347,908170,2611971,,,,,
Phyllosticta minima,194658,319633,2611949,Q10630529,,,,
Phyllosticta parthenocissi,42796239,932346,7840521,,,,,
Phyllosticta paviae,18163484,1095980,2611366,,,,,
Phyllosticta phaea,18162129,1260865,3514965,,,,,
Phyllosticta plantaginis,6430569,929087,3514755,,,,,
Phyllosticta ruscicola,188058,1484284,2612050,,,,,
Phyllosticta subeffusa,6430954,628543,2612018,,,,,
Phyllosticta thujae,18162579,1226405,3514494,,,,,
Diplochorella colensoi,1009883,382192,2624405,,,,,
Microcyclus amphimelaenus,52782783,1515778,5263780,,,,,
Camarosporium dalmaticum,1002394,961238,2612393,,,,,
Camarosporium oreades,295083,1539256,2612367,,,,,
Camarosporium sophorae,6431771,417676,3513847,,,,,
Heteroconium glutinosum,18194203,868406,3501532,,,,,
Phaeocryptopus nudus,189766,1541618,2612586,,,,,
Cladosporium aecidiicola,1030290,1026057,2620475,,,,,
Cladosporium alneum,18194878,1408583,3501905,,,,,
Cladosporium austrohemisphaericum,52240833,733328,9239479,,,,,
Cladosporium cladosporioides,190938,350347,2620657,Q5124957,,,,
Cladosporium colocasiae,152392,381670,2620645,,,,,
Cladosporium cucumerinum,1029729,381671,2620564,Q5124960,,,,
Cladosporium herbarum,1017287,350348,2620585,Q3678954,,,,
Cladosporium iridis,191094,886094,2620552,,,,,
Cladosporium licheniphilum,18194885,989007,3501677,,,,,
Cladosporium macrocarpum,160662,350349,2620615,,,,,
Cladosporium perangustum,21312485,1230221,8403664,,,,,
Cladosporium phyllophilum,6616172,416487,2620570,,,,,
Cladosporium ramotenellum,11941379,1230223,3501767,,,,,
Cladosporium uredinicola,160017,381675,2620664,,,,,
Graphiopsis chlorocephala,6416378,889629,2620685,,,,,
Capnobotrys paucisporus,52783060,1096587,2620089,,,,,
Capnocybe spongiosa,192926,343192,2620039,,,,,
Metacapnodium dingleyae,302160,379852,2620068,,,,,
Metacapnodium fraserae,192827,383113,2620056,,,,,
Ophiocapnocoma batistae,6417723,383365,2620086,,,,,
Teratosphaeria considenianae,50000104,519394,5894586,,,,,
Teratosphaeria eucalypti,48558003,1123745,5894595,,,,,
Teratosphaeria maculiformis,49251058,1096336,3512829,,,,,
Teratosphaeria proteae-arboreae,49251057,704141,2625005,,,,,
Baudoinia compniacensis,8590884,475238,2624959,Q1169325,,,,
Dothidea insculpta,1029411,1502896,2612718,,,,,
Dothidea sambuci,1029579,1502895,2612708,,,,,
Scirrhia rimosa,160738,1016057,2624896,,,,,
Dothiora oleae,52241419,1357702,9678198,,,,,
Dothiora ribesia,192227,990905,5261905,,,,,
Dothiora sphaeroides,6441852,1543059,5509709,,,,,
Hormonema macrosporum,295508,1498507,2613081,,,,,
Kabatia periclymeni,1005003,993437,2613038,Q10542325,,,,
Aureobasidium apocryptum,6441780,1258793,2613001,,,,,
Aureobasidium microstictum,192495,918481,2612999,,,,,
Aureobasidium namibiae,42516093,1398132,7458437,Q18378181,,,,
Aureobasidium pullulans,3032312,350153,3524384,Q147300,,,,
Aureobasidium subglaciale,37660556,1095650,7502784,Q18355416,,,,
Kabatiella lini,190248,993434,2612981,Q6343943,,,,
Pseudoseptoria donacis,997418,408193,2589991,Q7255554,,,,
Pseudosydowia eucalypti,44452031,877344,8135987,,,,,
Acrogenospora gigantospora,1008971,381160,2613623,,,,,
Gloniopsis subrugosa,18206025,884926,5894287,,,,,
Hysterium angustatum,1005218,351204,10954924,,,,,
Hysterium hyalinum,160078,1020758,5261973,,,,,
Hysterium pulicare,1029821,409485,5261981,,,,,
Hysterobrevium mori,18206803,327984,5894284,,,,,
Hysterobrevium smilacis,18206804,971821,5894286,,,,,
Hysteropatella prostii,196788,1024820,2613587,,,,,
Oedohysterium insidens,18206799,976065,5894279,,,,,
Oedohysterium sinense,18206800,863700,5894277,,,,,
Jahnula aquatica,248416,876404,2611178,,,,,
Xylomyces aquaticus,299502,1169133,2611193,,,,,
Lichenoconium erodens,998064,223614,2590475,,,,,
Lichenoconium lecanorae,295151,223615,2590470,,,,,
Lichenoconium pyxidatae,295153,223616,2590457,Q10561202,,,,
Lichenoconium usneae,998063,67739,2590459,,,,,
Lichenoconium xanthoriae,295660,223617,2590476,,,,,
Lichenostigma elongatum,6659778,175647,3519733,,,,,
Lichenostigma maureri,998257,175644,3519731,,,,,
Lichenostigma subradians,6659785,463429,3519742,,,,,
Lichenopeltella heterodermiae,6630520,884347,3524917,,,,,
Microthyrium ciliatum,6630331,1449267,3525185,,,,,
Microthyrium gramineum,161119,416555,2613395,,,,,
Racodium rupestre,997070,229744,2598604,,,,,
Asperisporium caricae,295048,327951,2592449,Q4807903,,,,
Caryophylloseptoria lychnidis,39980342,794119,7968138,,,,,
Cercospora arachidicola,6613207,1413150,5264558,Q5063974,,,,
Cercospora beticola,1029584,381536,5264853,Q2070817,,,,
Cercospora canescens,153938,381537,5264590,,,,,
Cercospora capsici,189459,914162,5264625,Q5063985,,,,
Cercospora hydrangeae,6614199,1121881,5264554,Q5063996,,,,
Cercospora mercurialis,1029397,988684,5264789,,,,,
Cercospora moricola,1030034,564653,5264694,,,,,
Cercospora sojina,300202,782252,5264667,Q5064024,,,,
Cercospora violae,1030129,379753,5264665,,,,,
Cercospora zeae-maydis,1030207,976278,5264592,,,,,
Cercospora zebrina,1030761,381553,5264727,Q5064032,,,,
Cercospora zinniae,1029354,1541690,5264765,,,,,
Cercosporella rubi,190023,381555,2621566,Q5064034,,,,
Cercosporella toxicodendri,6623288,898414,2621573,,,,,
Dothistroma septosporum,11505301,789385,2621905,Q12372916,,,,
Filiella pastinacae,52241128,1123752,9749386,,,,,
Fusoidiella depressa,52241130,1360848,9682697,,,,,
Lecanosticta acicola,1008968,978975,2622090,,,,,
Mycosphaerella chimaphilae,8591708,1046541,2622412,,,,,
Mycosphaerella colorata,6622018,543288,7424376,,,,,
Mycosphaerella confusa,189516,462116,2621854,Q6947188,,,,
Mycosphaerella cruenta,189797,1096188,2622178,Q6947191,,,,
Mycosphaerella cunninghamii,6622055,383234,2622156,,,,,
Mycosphaerella densa,6622093,416258,3505172,,,,,
Mycosphaerella dianthi,11505878,995136,2620417,Q5241602,,,,
Mycosphaerella effigurata,6622135,930166,2622623,,,,,
Mycosphaerella escalloniae,6622172,1132431,3505515,,,,,
Mycosphaerella fijiensis,193024,1096194,2621931,Q2946609,,,,
Mycosphaerella fraxinicola,6622214,541570,3505071,,,,,
Mycosphaerella gaultheriae,6622236,1503326,2621998,,,,,
Mycosphaerella impatientis,6622318,992702,3505173,,,,,
Mycosphaerella juglandis,6622350,891901,3504978,Q6947196,,,,
Mycosphaerella molleriana,18188977,1132527,2625002,,,,,
Mycosphaerella pittospori,6622643,408113,2622215,,,,,
Mycosphaerella pyri,1008853,1096318,2622098,Q10591472,,,,
Mycosphaerella ribis,1015704,1124025,2621971,,,,,
Mycosphaerella scaevolae,6622765,973843,3505383,,,,,
Mycosphaerella stemmatea,198244,1000683,8925228,,,,,
Mycosphaerella ulmi,1030041,1096333,2622266,,,,,
Ovularia sphaeroidea,188966,384097,2621736,,,,,
Passalora bataticola,6625115,381543,2624494,Q7180070,,,,
Passalora cercidicola,18190324,1096186,2622057,,,,,
Passalora chionea,6625168,1021559,3504238,,,,,
Passalora crotonophila,6625207,1019662,3503761,,,,,
Passalora dubia,11505024,880990,10047271,,,,,
Passalora fulva,6625265,327963,5265337,Q2084190,,,,
Passalora minutissima,6625381,521236,3503994,,,,,
Phacellium alborosellum,1030935,1005724,5263820,,,,,
Phacellium episphaerium,1030933,1005726,5263819,,,,,
Phacellium irregulare,6627580,1122755,2621384,,,,,
Phacellium rufibasis,1007907,1005727,5263821,,,,,
Phloeospora crescentium,6627142,408150,5263446,,,,,
Phloeospora dodonaeae,6627148,623106,5263463,,,,,
Phloeospora robiniae,133638,379867,5263447,,,,,
Polythrincium trifolii,11505814,1095985,2621541,Q292003,,,,
Pseudocercospora acalyphae,6620220,1440114,2624050,,,,,
Pseudocercospora ackamae,8592524,462115,2623715,,,,,
Pseudocercospora aristoteliae,6620308,383842,2624016,,,,,
Pseudocercospora atromarginalis,6620324,383843,2624005,,,,,
Pseudocercospora cassiae-fistulae,6620435,1455023,3502780,,,,,
Pseudocercospora chionanthi-retusi,6620468,1338766,8027136,,,,,
Pseudocercospora coprosmae,6620530,383846,2623803,,,,,
Pseudocercospora cotoneastri,6620549,1435841,3502292,,,,,
Pseudocercospora depazeoides,46721609,1121870,7396005,,,,,
Pseudocercospora diospyricola,6620609,1188561,3502725,,,,,
Pseudocercospora dodonaeae,6620616,383851,2624152,,,,,
Pseudocercospora ebulicola,6620627,1454888,2624262,,,,,
Pseudocercospora eriobotryae,6620644,1455213,8104219,,,,,
Pseudocercospora formosana,6620698,1455021,2623903,,,,,
Pseudocercospora fuligena,194384,383852,2624223,Q7254582,,,,
Pseudocercospora guianensis,6620753,1418881,2624065,,,,,
Pseudocercospora jamaicensis,6620831,1440087,2624340,,,,,
Pseudocercospora jussiaeae,6620840,1454887,2623890,,,,,
Pseudocercospora kaki,6620846,964768,3502646,Q7254584,,,,
Pseudocercospora kalmiae,6620848,494329,2623789,,,,,
Pseudocercospora lagerstroemiigena,6620870,1455022,3502623,,,,,
Pseudocercospora liquidambaricola,6620898,1455215,3502444,,,,,
Pseudocercospora musicola,6621014,996471,3502420,,,,,
Pseudocercospora nandinae,6621026,383859,2623716,,,,,
Pseudocercospora neoliquidambaris,6621032,792567,3502099,Q5064000,,,,
Pseudocercospora nogalesii,6621042,409562,2624158,,,,,
Pseudocercospora oleariae,6621059,383863,2623794,,,,,
Pseudocercospora pittospori,6621133,1534921,3502578,,,,,
Pseudocercospora rhinacanthi,6621220,1338760,2623943,,,,,
Pseudocercospora rhoina,6621226,628994,2623611,,,,,
Pseudocercospora smilacicola,46721654,1193519,8117273,,,,,
Pseudocercospora subsessilis,194390,1170038,2624024,Q7254591,,,,
Pseudocercospora theae,190193,1454891,2624181,Q7254592,,,,
Pseudocercospora viburnigena,295282,1435892,2623703,,,,,
Pseudocercospora vitis,156501,911229,2623806,Q10642545,,,,
Pseudocercosporella oxalidis,6612441,1455216,3512706,,,,,
Ramularia adoxae,1029554,1007126,5263686,,,,,
Ramularia ajugae,1029809,379882,5263569,,,,,
Ramularia ari,1030264,1225573,5263488,,,,,
Ramularia armoraciae,1029710,379883,5263731,,,,,
Ramularia aromatica,133918,1007135,5263702,,,,,
Ramularia beticola,133975,384079,5263623,Q7290352,,,,
Ramularia bistortae,133972,1007151,5263532,,,,,
Ramularia brunnea,1030299,925702,5263722,Q7290355,,,,
Ramularia cardamines,1029923,1007145,5263645,,,,,
Ramularia coleosporii,1029754,384080,5263648,,,,,
Ramularia cylindroides,6619616,1007153,5263632,,,,,
Ramularia didyma,1029686,384083,9646798,,,,,
Ramularia endophylla,18180772,1096298,2622502,Q10591470,,,,
Ramularia geranii,1030637,1460784,5263527,,,,,
Ramularia glechomatis,196017,1046290,5263498,,,,,
Ramularia grevilleana,11470216,1096197,8507631,Q6947195,,,,
Ramularia hellebori,188940,384084,5263644,,,,,
Ramularia heraclei,1030594,1007156,5263665,,,,,
Ramularia inaequalis,46721451,418618,8237592,,,,,
Ramularia lactea,189079,384086,5263594,,,,,
Ramularia lamii,189087,384087,5263620,,,,,
Ramularia lapsanae,189020,384088,5263564,,,,,
Ramularia ligustrina,1030433,1550757,5263730,,,,,
Ramularia macrospora,1009503,1007205,5263694,Q7290358,,,,
Ramularia oreophila,6619895,1399061,5263554,,,,,
Ramularia parietariae,159497,1389843,5263700,,,,,
Ramularia pratensis,188083,703667,5263585,,,,,
Ramularia primulae,188401,384090,5263705,Q3500397,,,,
Ramularia purpurascens,188320,1421244,5263675,,,,,
Ramularia rhabdospora,11504835,384092,5263652,,,,,
Ramularia rubella,1016960,384093,5263637,Q10649333,,,,
Ramularia septata,133930,1024995,5263690,,,,,
Ramularia simplex,188233,384096,5263519,,,,,
Ramularia taraxaci,159389,881236,5263557,,,,,
Ramularia ulmariae,160881,1005923,5263712,Q10649355,,,,
Ramularia urticae,187845,628967,5263551,,,,,
Ramularia vaccarii,18180831,628914,5503691,,,,,
Ramularia vallisumbrosae,187843,1465404,5263660,Q10649359,,,,
Ramularia variabilis,1005222,418617,5263727,,,,,
Ramularia veronicae,160613,384099,5263485,,,,,
Ruptoseptoria unedonis,39980351,1096135,7524158,,,,,
Septoria agapanthi,18182634,1530084,5504285,,,,,
Septoria alpicola,1017244,384259,5264443,,,,,
Septoria anemones,1031331,628552,5264235,,,,,
Septoria apiicola,1030730,384261,5264318,,,,,
Septoria cerastii,188944,384268,5264288,,,,,
Septoria chelidonii,188809,968903,5264531,,,,,
Septoria colensoi,6617312,384272,5264490,,,,,
Septoria convolvuli,1030528,384273,5264289,,,,,
Septoria cucurbitacearum,1030546,384275,5264501,Q7452342,,,,
Septoria cymbalariae,189055,1394208,5264542,,,,,
Septoria exotica,1030329,384279,5264517,,,,,
