eolID,English,Arabic,Azerbaijani,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,Estonian,Finnish,French,German,Hebrew,Hungarian,Indonesian,Italian,Japanese,Lithuanian,Malay,Norwegian,Persian,Polish,Portuguese,Russian,Serbian,Slovak,Spanish,Swedish,Thai,Turkish,Ukrainian,Vietnamese
11506630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197098,Old Wood Rimmed Lichen,,,,,,,,,,Kuusenhärmäjäkälä,,,,,,,,,,,,,,,,,,,,,,
198151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6414091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6546238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008085,Scribble Lichen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197404,Scribble Lichen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007497,Scribble Lichen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21309325,Churchyard Lecanactis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8594133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998383,Roccella Lichen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007384,Montagne's Roccella Lichen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197776,Roccella Lichen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6415702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11506894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6415152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52240345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52783076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52240340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52423146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52783079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52240343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52240332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52240333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52783080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52783081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52240334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52783083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52240335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52240344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52240768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52240769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52784339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50950080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52783478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49435256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48322903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48557992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52783119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48379426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6659748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6439051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
